1; 8
2; 16
3; 4
4; 8
5; 4
6; 8
7; 8
8; 16
9; 4
10; 4
11; 4
12; 16
13; 8
14; 4
15; 8
16; 0
17; 8
18; 4
19; 8
20; 64
21; 16
22; 0
23; 8
24; 16
25; 0
26; 0
27; 0
28; 16
29; 16
30; 0
31; 16
32; 4
33; 8
34; 64
35; 4
36; 8
37; 16
38; 4
39; 8
40; 16
41; 8
42; 32
43; 8
44; 16
45; 4
46; 8
47; 4
48; 4
49; 16
50; 8
51; 16
52; 0
53; 16
54; 4
55; 0
56; 4
57; 4
58; 0
59; 32
60; 4
61; 8
62; 4
63; 8
64; 4
65; 8
66; 8
67; 8
68; 0
69; 4
70; 8
71; 0
72; 4
73; 4
74; 8
75; 16
76; 4
77; 0
78; 4
79; 8
80; 8
81; 0
82; 8
83; 0
84; 8
85; 4
86; 16
87; 0
88; 4
89; 8
90; 0
91; 4
92; 8
93; 4
94; 4
95; 16
96; 8
97; 4
98; 8
99; 16
100; 16
101; 4
102; 0
103; 8
104; 8
105; 8
106; 8
107; 32
108; 4
109; 64
110; 128
111; 16
112; 4
113; 4
114; 8
115; 8
116; 0
117; 4
118; 8
119; 16
120; 16
121; 8
122; 4
123; 4
124; 8
125; 0
126; 4
127; 8
128; 8
129; 8
130; 8
131; 4
132; 8
133; 4
134; 4
135; 4
136; 8
137; 0
138; 0
139; 4
140; 16
141; 4
142; 8
143; 4
144; 8
145; 8
146; 8
147; 8
148; 4
149; 8
150; 8
151; 0
152; 32
153; 0
154; 8
155; 8
156; 0
157; 4
158; 4
159; 16
160; 0
161; 32
162; 0
163; 16
164; 32
165; 4
166; 16
167; 256
168; 4
169; 0
170; 0
171; 16
172; 0
173; 32
174; 32
175; 0
176; 4
177; 4
178; 8
179; 0
180; 16
181; 8
182; 0
183; 0
184; 8
185; 128
186; 4
187; 16
188; 4
189; 8
190; 16
191; 4
192; 8
193; 0
194; 4
195; 32
196; 4
197; 4
198; 32
199; 0
200; 8
201; 4
202; 4
203; 4
204; 0
205; 8
206; 4
207; 16
208; 8
209; 0
210; 4
211; 4
212; 8
213; 4
214; 8
215; 0
216; 0
217; 8
218; 0
219; 8
220; 4
221; 32
222; 4
223; 0
224; 0
225; 64
226; 4
227; 4
228; 0
229; 8
230; 16
231; 8
232; 4
233; 0
